Title,Price,Image_URL,Product_URL
"Dunyo daholari: Leonardo da Vinchi - Zamonasidan ilgarilab ketgan aql sohibi","75000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6900954a975f5.png","https://asaxiy.uz/uz/product/dunyo-daholari-leonardo-da-vinchi-zamonasidan-ilgarilab-ketgan-aql-sohibi"
"Shayx Muhammad Sodiq Muhammad Yusuf: Tafsiri Hilol (6 jild)","899000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/61a7b20b855a4.jpg.webp","https://asaxiy.uz/uz/product/shaih-muhammad-sodik-muhammad-yusuf-tafsiri-hilol-6-zhild"
"Ibn Xaldun: Muqaddima (3 jild). To'liq nashr.","299000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/684c22679b5c1.jpg.webp","https://asaxiy.uz/uz/product/ibn-haldun-muqaddima-3-jild"
"Dunyo daholari: Motsart - Musiqa dahosi","75000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/690094d95ebf1.png","https://asaxiy.uz/uz/product/dunyo-daholari-motsart-musiqa-dahosi"
"Shayx Muhammad Sodiq Muhammad Yusuf: Hadis va hayot","1699000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/61d95583dda3c.jpg.webp","https://asaxiy.uz/uz/product/shaih-muhammad-sodik-muhammad-yusuf-hadis-va-haet"
"Go'zalxon Xamidova: Kichik kashfiyotchi. 3 yoshgacha bo‘lgan bolalar uchun Montessori mashg‘ulotlari","49000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68f2202775edb.jpg","https://asaxiy.uz/uz/product/guzalhon-hamidova-kichik-kashfiyotchi"
"Bo Bennett: Mantiqiy xato: To‘g‘ri fikrlash qo‘llanmasi (yumshoq muqova)","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69008a1b06eca.png","https://asaxiy.uz/uz/product/bo-bennett-mantiqiy-hato-tugri-fikrlash-qullanmasi-2"
"Robin Sharma: O'lsang  kim yig‘laydi?","40000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/65c7701020b9f.jpg","https://asaxiy.uz/uz/product/robin-sharma-ulsang-kim-jiglajdi"
"O‘zbek tilining izohli lug‘ati (To‘plam  6 jild)","699000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6482f5862f417.jpg.webp","https://asaxiy.uz/uz/product/uzbek-tilining-izohli-lugati-tuplam-6-jild"
"Henri Kissenjer: Jahon tartiboti","69000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/6984442217fcf.jpg","https://asaxiy.uz/uz/product/henri-kissenjer-jahon-tartiboti"
